gost_designation,analog,manufacturer,source_url,source_file
32315,NU315,10-ГПЗ,,10-ГПЗ.md
32317КМ,,10-ГПЗ,,10-ГПЗ.md
32317,NU317,10-ГПЗ,,10-ГПЗ.md
32605КМ,,10-ГПЗ,,10-ГПЗ.md
32605,NU2305,10-ГПЗ,,10-ГПЗ.md
32612К1М,,10-ГПЗ,,10-ГПЗ.md
32612,NU2312,10-ГПЗ,,10-ГПЗ.md
42205АЕМ1,,10-ГПЗ,,10-ГПЗ.md
42205АЕМ1Ш1,,10-ГПЗ,,10-ГПЗ.md
42205,NJ205,10-ГПЗ,,10-ГПЗ.md
42206АКМ,,10-ГПЗ,,10-ГПЗ.md
42206,NJ206,10-ГПЗ,,10-ГПЗ.md
42207КМ,,10-ГПЗ,,10-ГПЗ.md
42207,NJ207,10-ГПЗ,,10-ГПЗ.md
42208КМ,,10-ГПЗ,,10-ГПЗ.md
42208М,,10-ГПЗ,,10-ГПЗ.md
42208,NJ208,10-ГПЗ,,10-ГПЗ.md
42208,NJ208,10-ГПЗ,,10-ГПЗ.md
42209ЕМ,,10-ГПЗ,,10-ГПЗ.md
42209К1М,,10-ГПЗ,,10-ГПЗ.md
42209,NJ209,10-ГПЗ,,10-ГПЗ.md
42209,NJ209,10-ГПЗ,,10-ГПЗ.md
42210КМ,,10-ГПЗ,,10-ГПЗ.md
42210,NJ210,10-ГПЗ,,10-ГПЗ.md
42211КМ,,10-ГПЗ,,10-ГПЗ.md
42211,NJ211,10-ГПЗ,,10-ГПЗ.md
42212К1М,,10-ГПЗ,,10-ГПЗ.md
42212,NJ212,10-ГПЗ,,10-ГПЗ.md
42213К1М,,10-ГПЗ,,10-ГПЗ.md
42213,NJ213,10-ГПЗ,,10-ГПЗ.md
42215К1М,,10-ГПЗ,,10-ГПЗ.md
42215,NJ215,10-ГПЗ,,10-ГПЗ.md
42216К1М,,10-ГПЗ,,10-ГПЗ.md
42216,NJ216,10-ГПЗ,,10-ГПЗ.md
42218КМ,,10-ГПЗ,,10-ГПЗ.md
42218,NJ218,10-ГПЗ,,10-ГПЗ.md
42226М,,10-ГПЗ,,10-ГПЗ.md
42226,NJ226,10-ГПЗ,,10-ГПЗ.md
42228М,,10-ГПЗ,,10-ГПЗ.md
42228,NJ228,10-ГПЗ,,10-ГПЗ.md
42234М,,10-ГПЗ,,10-ГПЗ.md
42234,NJ234,10-ГПЗ,,10-ГПЗ.md
42305АЕМ,,10-ГПЗ,,10-ГПЗ.md
42305АЕМШ1,,10-ГПЗ,,10-ГПЗ.md
42305,NJ305,10-ГПЗ,,10-ГПЗ.md
42306К2М,,10-ГПЗ,,10-ГПЗ.md
42306,NJ306,10-ГПЗ,,10-ГПЗ.md
42307КМ,,10-ГПЗ,,10-ГПЗ.md
42307,NJ307,10-ГПЗ,,10-ГПЗ.md
42308К1М,,10-ГПЗ,,10-ГПЗ.md
42308,NJ308,10-ГПЗ,,10-ГПЗ.md
42309К1М,,10-ГПЗ,,10-ГПЗ.md
42309М1,,10-ГПЗ,,10-ГПЗ.md
42309,NJ309,10-ГПЗ,,10-ГПЗ.md
42309,NJ309,10-ГПЗ,,10-ГПЗ.md
42310АЛ1,,10-ГПЗ,,10-ГПЗ.md
42310К2М,,10-ГПЗ,,10-ГПЗ.md
42310,NJ310,10-ГПЗ,,10-ГПЗ.md
42310,NJ310,10-ГПЗ,,10-ГПЗ.md
42311КМ,,10-ГПЗ,,10-ГПЗ.md
42311,NJ311,10-ГПЗ,,10-ГПЗ.md
42312КМ,,10-ГПЗ,,10-ГПЗ.md
42312М1,,10-ГПЗ,,10-ГПЗ.md
42312,NJ312,10-ГПЗ,,10-ГПЗ.md
42312,NJ312,10-ГПЗ,,10-ГПЗ.md
42313КМ,,10-ГПЗ,,10-ГПЗ.md
42313,NJ313,10-ГПЗ,,10-ГПЗ.md
42314К1М,,10-ГПЗ,,10-ГПЗ.md
42314М1,,10-ГПЗ,,10-ГПЗ.md
42314,NJ314,10-ГПЗ,,10-ГПЗ.md
42314,NJ314,10-ГПЗ,,10-ГПЗ.md
42315К1М,,10-ГПЗ,,10-ГПЗ.md
42315,NJ315,10-ГПЗ,,10-ГПЗ.md
42409КМ,,10-ГПЗ,,10-ГПЗ.md
42409М1,,10-ГПЗ,,10-ГПЗ.md
42409,NJ409,10-ГПЗ,,10-ГПЗ.md
42409,NJ409,10-ГПЗ,,10-ГПЗ.md
42412К1М,,10-ГПЗ,,10-ГПЗ.md
42412,NJ412,10-ГПЗ,,10-ГПЗ.md
42609Л3М,,10-ГПЗ,,10-ГПЗ.md
42609,NJ2309,10-ГПЗ,,10-ГПЗ.md
42612КМ,,10-ГПЗ,,10-ГПЗ.md
42612,NJ2312,10-ГПЗ,,10-ГПЗ.md
42613КМ,,10-ГПЗ,,10-ГПЗ.md
42613,NJ2313,10-ГПЗ,,10-ГПЗ.md
42620М,,10-ГПЗ,,10-ГПЗ.md
42620,NJ2320,10-ГПЗ,,10-ГПЗ.md
50210,210N,10-ГПЗ,,10-ГПЗ.md
50212,212N,10-ГПЗ,,10-ГПЗ.md
64706Е,,10-ГПЗ,,10-ГПЗ.md
92305АЕМ,,10-ГПЗ,,10-ГПЗ.md
92305,NUP305,10-ГПЗ,,10-ГПЗ.md
92311К1М,,10-ГПЗ,,10-ГПЗ.md
92311,NUP311,10-ГПЗ,,10-ГПЗ.md
92312КМ,,10-ГПЗ,,10-ГПЗ.md
92312М1,,10-ГПЗ,,10-ГПЗ.md
92312,NUP312,10-ГПЗ,,10-ГПЗ.md
92312,NUP312,10-ГПЗ,,10-ГПЗ.md
92314К1М,,10-ГПЗ,,10-ГПЗ.md
92314М1,,10-ГПЗ,,10-ГПЗ.md
92314,NUP314,10-ГПЗ,,10-ГПЗ.md
92314,NUP314,10-ГПЗ,,10-ГПЗ.md
92316АКМ,,10-ГПЗ,,10-ГПЗ.md
92316,NUP316,10-ГПЗ,,10-ГПЗ.md
92609ЛМ,,10-ГПЗ,,10-ГПЗ.md
92609,NUP2309,10-ГПЗ,,10-ГПЗ.md
92609,NUP2309,10-ГПЗ,,10-ГПЗ.md
92610АКМ,,10-ГПЗ,,10-ГПЗ.md
92610,NUP2310,10-ГПЗ,,10-ГПЗ.md
92710АЛ1,,10-ГПЗ,,10-ГПЗ.md
92710К2М,,10-ГПЗ,,10-ГПЗ.md
92714К1М,,10-ГПЗ,,10-ГПЗ.md
102206М,,10-ГПЗ,,10-ГПЗ.md
102206,U1206TM,10-ГПЗ,,10-ГПЗ.md
102208М,,10-ГПЗ,,10-ГПЗ.md
102208,U1208TM,10-ГПЗ,,10-ГПЗ.md
102210М,,10-ГПЗ,,10-ГПЗ.md
102210,U1210TM,10-ГПЗ,,10-ГПЗ.md
102211М,,10-ГПЗ,,10-ГПЗ.md
102211,U1211TM,10-ГПЗ,,10-ГПЗ.md
102212М,,10-ГПЗ,,10-ГПЗ.md
102212,U1212TM,10-ГПЗ,,10-ГПЗ.md
102304М,,10-ГПЗ,,10-ГПЗ.md
102304,U1304TM,10-ГПЗ,,10-ГПЗ.md
102305М,,10-ГПЗ,,10-ГПЗ.md
102305,U1305TM,10-ГПЗ,,10-ГПЗ.md
102306М,,10-ГПЗ,,10-ГПЗ.md
102306,U1306TM,10-ГПЗ,,10-ГПЗ.md
102307М,,10-ГПЗ,,10-ГПЗ.md
102307,U1307TM,10-ГПЗ,,10-ГПЗ.md
102308М,,10-ГПЗ,,10-ГПЗ.md
102308,U1308TM,10-ГПЗ,,10-ГПЗ.md
102309М,,10-ГПЗ,,10-ГПЗ.md
102309,U1309TM,10-ГПЗ,,10-ГПЗ.md
102310М,,10-ГПЗ,,10-ГПЗ.md
102310,U1310TM,10-ГПЗ,,10-ГПЗ.md
102312М,,10-ГПЗ,,10-ГПЗ.md
102312,U1312TM,10-ГПЗ,,10-ГПЗ.md
102313М,,10-ГПЗ,,10-ГПЗ.md
102313,U1313TM,10-ГПЗ,,10-ГПЗ.md
